period,reporter,reporter_label,cn8_code,product_label,world_import_value_eur,intra_eu_import_value_eur,extra_eu_import_value_eur,intra_share_pct,extra_share_pct,reconciliation_gap_eur,interpretation,source_url
2025,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",85434000,Electronic cigarettes and similar personal electric vaporizing devices(2022-2500);Electric fence energisers(1996-2006),,552158110.0,879332318.0,,,,EU27 reporter contains extra-EU imports only; do not add Member State world totals to it.,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",,786354096.0,1361123817.0,,,,EU27 reporter contains extra-EU imports only; do not add Member State world totals to it.,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",,2650092.0,244836.0,,,,EU27 reporter contains extra-EU imports only; do not add Member State world totals to it.,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",,54928157.0,48675174.0,,,,EU27 reporter contains extra-EU imports only; do not add Member State world totals to it.,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,AT,Austria,85434000,Electronic cigarettes and similar personal electric vaporizing devices(2022-2500);Electric fence energisers(1996-2006),17595253.0,11857089.0,5738164.0,67.38799947917771,32.61200052082229,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,AT,Austria,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",55529737.0,15677254.0,39852483.0,28.232177652849323,71.76782234715068,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,AT,Austria,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",182748.0,171340.0,11408.0,93.75752402215072,6.242475977849279,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,AT,Austria,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",758023.0,268249.0,489774.0,35.38797635427949,64.61202364572051,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),85434000,Electronic cigarettes and similar personal electric vaporizing devices(2022-2500);Electric fence energisers(1996-2006),21917702.0,4462803.0,17454899.0,20.36163736508508,79.63836263491491,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",105423237.0,15089489.0,90333748.0,14.31324765715551,85.68675234284449,0.0,"World imports equal intra-EU arrivals plus extra-EU imports, subject to revisions and confidentiality.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en
