"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"Sundbygaard - Blue mist";"Refill container/cartridge containing e-liquid.";00219-16-05720;"Efuma Aps";13-01-2017
"Vapeson - Smok mavic pod (2stk)";"Electronic cigarette – Disposable.";00219-24-34100;"Efuma Aps";01-04-2024
"Innokin - Prism Apex tank-Black";"Individual part of electronic cigarette capable of containing e-liquid.";00128-22-00026;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";02-03-2023
"Vapeson e - Rounded blue";"Electronic cigarette – Disposable.";00219-24-28545;"Efuma Aps";29-01-2024
"Innokin - Endura Apex Kit";"Electronic cigarette – Refillable, device only.";00128-22-00025;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";02-03-2023
"Innokin - Endura Apex kit -Black";"Electronic cigarette – Refillable, device only.";00128-22-00025;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";02-03-2023
"Vapeson e - Blue freeze";"Electronic cigarette – Disposable.";00219-24-33206;"Efuma Aps";04-03-2024
"Vapeson e - Blue freeze 0mg/ml";Other;00219-24-34360;"Efuma Aps";30-04-2024
"Vapeson e - Blue crushed";"Electronic cigarette – Disposable.";00219-24-28544;"Efuma Aps";29-01-2024
"Vapeson - Smok mavic pod (2stk), brown blend";"Electronic cigarette – Disposable.";00219-24-34101;"Efuma Aps";01-04-2024
"Sundbygaard - Brown blend";"Refill container/cartridge containing e-liquid.";00219-16-05726;"Efuma Aps";13-01-2017
"Vapeson - Smok mavic pod (2stk)";"Electronic cigarette – Disposable.";00219-24-34101;"Efuma Aps";01-04-2024
"Innokin - Prism Apex tank";"Individual part of electronic cigarette capable of containing e-liquid.";00128-22-00026;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";02-03-2023
"Vapeson e - Rounded brown";"Electronic cigarette – Disposable.";00219-24-28546;"Efuma Aps";29-01-2024
"Innokin - Prism Apex tank-Blue";"Individual part of electronic cigarette capable of containing e-liquid.";00128-22-00026;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";02-03-2023
"Sundbygaard - Brown classic";Other;00219-21-05679;"Efuma Aps";16-08-2021
"Sundbygaard - Brown 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05725;"Efuma Aps";13-01-2017
"TRUE VAPOR - Arctic 0 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 12mg Fresh";"Refill container/cartridge containing e-liquid.";00226-16-00002;"DOIT Denmark ApS";15-11-2016
"True Vapor - RY4 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"True Vapor - USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"TRUE VAPOR - Sensation 0 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"InSano - Tobacco 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Ry4 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Ry6 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - RY4 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - Hs 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - USA Mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"InSano - RY6 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Ry4 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - RY6 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Super Mint 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - HS Menthol Sensation 0mg/ml 30VG70PG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 12mg Intens";"Refill container/cartridge containing e-liquid.";00226-22-00010;"DOIT Denmark ApS";22-11-2022
"Hangsen - Atom Usa Mix 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"InSano - RY4 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - HS Menthol Sensation 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Traditional 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 12mg Original";"Refill container/cartridge containing e-liquid.";00226-16-00004;"DOIT Denmark ApS";15-11-2016
"Hangsen - RY6 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 18mg Fresh";"Refill container/cartridge containing e-liquid.";00226-16-00001;"DOIT Denmark ApS";12-11-2016
"Holmegaard - Original brown 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Super Mint 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"VooPoo - Argus Klyc Cap";Other;03183-25-00016;"Danish Trade ApS";08-07-2025
"Holmegaard - Tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - RY6 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - RY4 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - USA Mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"True Vapor - Menthol Sensation 0mg/ml 30VG70PG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
