"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"SS Hat Carbon Fiber Drip Tip - (13) Silver";Other;02828-19-70028;"Insano Aps";11-10-2019
"Vozol Switch Refillable Pod";"Electronic cigarette – Refillable, device only.";02828-25-30152;"Insano Aps";16-10-2025
"FJÖR Puffbar Plus Swt 0MG/ML";"Electronic cigarette – Disposable.";02828-23-90131;"Insano Aps";27-12-2023
"ZoVoo - Vincibar Pro Device";Other;03183-24-40005;"Danish Trade ApS";18-06-2024
"Wismec - Active MOD";Other;02828-18-60016;"Insano Aps";27-09-2018
"SMOK - NOVO POD(SLR) (Meshed 0.6Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-24-00265;"IVPS Technology B.V.";13-03-2025
"Vandy Vape - Pulse BF kit Drip Tip";Other;02828-19-70004;"Insano Aps";14-10-2019
"OXVA Xlim Pro 3";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80145;"Insano Aps";14-11-2025
"vaporock - vaporock Pod (Meshed 0.6Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-25-00089;"IVPS Technology B.V.";20-08-2025
"Innokin - Coolfire Z80 MOD - Ash Grey";Other;02828-21-60056;"Insano Aps";13-07-2021
"SMOK - ARCO DIGI KIT 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03862-24-00259;"IVPS Technology B.V.";07-07-2025
"Innokin - Coolfire Z80 MOD - Cloudy Grey";Other;02828-21-60056;"Insano Aps";13-07-2021
"Innokin Z coil, 1.6 ohm";Other;02828-21-40229;"Insano Aps";18-10-2021
"Oxva Nexlim pods 0.6 ohm";"Electronic cigarette – Refillable, device only.";02828-25-30150;"Insano Aps";26-08-2025
"OXVA Xlim Go 2 Green Ripple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80144;"Insano Aps";14-11-2025
"Eleaf - iStick TC40W batteri";Other;02828-17-50001;"Insano Aps";01-08-2017
"OXVA Xlim Go 2 Light Brown Shadow";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80144;"Insano Aps";14-11-2025
"SMOK - Novo pod(slr) (meshed 0.8Ω), 2ml(3stk)";"Individual part of electronic cigarette capable of containing e-liquid.";03862-24-00264;"IVPS Technology B.V.";13-03-2025
"Eleaf - iStick Pico X MOD";Other;02828-19-60027;"Insano Aps";18-06-2019
"Vozol Ace Max Pods 0.6 ohm";"Electronic cigarette – Refillable, device only.";02828-25-30149;"Insano Aps";18-12-2024
"KangerTech - EGO 3.2 650 mah batteri";Other;02828-17-50005;"Insano Aps";21-07-2017
"Kangertech - EVOD VV 1600mah batteri";Other;02828-17-50007;"Insano Aps";21-07-2017
"vaporock - vaporock Pod (Meshed 0.8Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-25-00090;"IVPS Technology B.V.";20-08-2025
"Oxva Nexlim pods 0.8 ohm";"Electronic cigarette – Refillable, device only.";02828-25-30151;"Insano Aps";26-08-2025
"Smok - Morph 3 mod, orange";Other;00219-24-34587;"Efuma Aps";17-07-2024
"Vozol Ace Max Pods 0.8 ohm";"Electronic cigarette – Refillable, device only.";02828-25-30148;"Insano Aps";18-12-2024
"Kangertech Evod vv batteri";Other;02828-17-50003;"Insano Aps";01-08-2017
"Innokin - Goz tank, 2ml - Clear";"Electronic cigarette – Refillable, device only.";02828-21-30137;"Insano Aps";18-10-2021
"Innokin - Goz tank, 2ml - Black";"Electronic cigarette – Refillable, device only.";02828-21-30137;"Insano Aps";18-10-2021
"Innokin - Goz tank, 2ml -Blue";"Electronic cigarette – Refillable, device only.";02828-21-30137;"Insano Aps";18-10-2021
"OXVA Xlim Go 2 Pink Ripple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80144;"Insano Aps";14-11-2025
"SMOK - vaporock Pod (Meshed 0.8Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-25-00090;"IVPS Technology B.V.";20-08-2025
"SMOK - NOVO SE KIT 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03862-24-00133;"IVPS Technology B.V.";11-12-2024
"Aspire - Nautilus X / PockeX Drip Tip";Other;02828-19-70001;"Insano Aps";11-10-2019
"Kangertech - EVOD VV 1300 mah batteri";Other;02828-17-50003;"Insano Aps";01-08-2017
"Joyetech - eGo AiO Cyclone Drip Tip";Other;02828-19-70003;"Insano Aps";11-10-2019
"inSano - 250 ml. base 100VG";Other;02828-21-20017;"Insano Aps";13-07-2021
"Eleaf - iStick Pico 2 MOD";Other;02828-21-60054;"Insano Aps";08-03-2021
"SMOK - ARCO Pod Meshed 0.6Ω 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-24-00262;"IVPS Technology B.V.";07-07-2025
"OXVA Xlim Go 2";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80144;"Insano Aps";14-11-2025
"Insano Nikotin Salt Base - 60VG/40PG 20 MG/ML";"Refill container/cartridge containing e-liquid.";02828-19-20002;"Insano Aps";19-03-2019
"SMOK - vaporock Pod (Meshed 0.6Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-25-00089;"IVPS Technology B.V.";20-08-2025
"The Panther - Drip Tip 810";Other;02828-21-70038;"Insano Aps";11-02-2021
"Innokin - Coolfire Z80 MOD - Leather Black";Other;02828-21-60056;"Insano Aps";13-07-2021
"Eleaf - iStick iPower batteri";Other;02828-21-50071;"Insano Aps";25-02-2021
"OXVA Xlim Go 2 Black Shadow";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80144;"Insano Aps";14-11-2025
"Oxva Nexlim pods";"Electronic cigarette – Refillable, device only.";02828-25-30150;"Insano Aps";26-08-2025
"Kangertech - CE4 tank, 2ml.";"Electronic cigarette – Refillable, device only.";02828-21-30123;"Insano Aps";04-02-2021
"Brize - Vincibar Pro Device";Other;03183-24-40005;"Danish Trade ApS";18-06-2024
"Insano Nikotin Base - 100VG 20 MG/ML";"Refill container/cartridge containing e-liquid.";02828-19-20004;"Insano Aps";19-03-2019
"OXVA Xlim Pro 3 Black Leather";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80145;"Insano Aps";14-11-2025
"OXVA Xlim Pro 3 Titanium Silk";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80145;"Insano Aps";14-11-2025
"OXVA Xlim Pro 3 Pink Silk";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80145;"Insano Aps";14-11-2025
"SMOK - NOVO ECO KIT 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03862-24-00154;"IVPS Technology B.V.";11-12-2024
"Oxva Nexlim pods";"Electronic cigarette – Refillable, device only.";02828-25-30151;"Insano Aps";26-08-2025
"Innokin - Goz tank, 2ml - Pink";"Electronic cigarette – Refillable, device only.";02828-21-30137;"Insano Aps";18-10-2021
"Kangertech Evod vv batteri";Other;02828-17-50007;"Insano Aps";21-07-2017
"SMOK - ARCO Pod Meshed 0.8Ω 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-24-00263;"IVPS Technology B.V.";07-07-2025
"SMOK - NOVO POD(SLR) (Meshed 0.4Ω) 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";03862-24-00266;"IVPS Technology B.V.";31-03-2025
"Innokin - Z coil 1,6 ohm coil";Other;02828-21-40229;"Insano Aps";18-10-2021
"Vapeson - Brown pr blend";"Refill container/cartridge containing e-liquid.";00219-22-27970;"Efuma Aps";04-03-2022
"Innokin - Z coil 0.8ohm";"Individual part of electronic cigarette capable of containing e-liquid.";00128-17-00120;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";05-12-2024
"Sxmini - Pumax kit, blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Sundbygaard - Brown classic";"Refill container/cartridge containing e-liquid.";00219-16-05680;"Efuma Aps";13-01-2017
"Holmegaard - Red USA Mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Vapeson - Brown pr blend - 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27970;"Efuma Aps";04-03-2022
"Sxmini - Pumax kit, silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Sxmini - Pumax kit, black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Vapeson - Brown pr - 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27970;"Efuma Aps";04-03-2022
"Aspire - Glint mod";Other;00219-19-23834;"Efuma Aps";17-12-2019
"Vapeson - American brown - 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27965;"Efuma Aps";04-03-2022
"Aspire - Zelos x mod, metallic silver";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Aspire - Zelos x mod";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Sundbygaard - Brown classic 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05681;"Efuma Aps";13-01-2017
"True Vapor - Red USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Aspire - Glint Mod";Other;00219-19-23834;"Efuma Aps";17-12-2019
"Vapeson - Brown pr blend - 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27971;"Efuma Aps";04-03-2022
"Aspire - Zelos X Mod";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Innokin - Endura t18 2 battery 1300mah";Other;00219-18-18486;"Efuma Aps";24-10-2018
"Vapeson - American blend - 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27965;"Efuma Aps";04-03-2022
"Aspire - Zelos x mod, gunmetal";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Sxmini - Pumax kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Vapeson - Brown pr - 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27971;"Efuma Aps";04-03-2022
"Hangsen - Atom Red Usa Mix 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Aspire - Zelos x mod, black chrome";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Sundbygaard - Brown classic 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05680;"Efuma Aps";13-01-2017
"Aspire - Glint mod, gun metal";Other;00219-19-23834;"Efuma Aps";17-12-2019
"Innokin - 1300mAh Endura T18II Battery";Other;00219-18-18486;"Efuma Aps";24-10-2018
"Sxmini - Pumax kit, purple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Aspire - Zelos x mod, aqua blue";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Aspire - Zelos x mod, red";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Aspire - Zelos x mod, black";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Sxmini - Pumax kit, fuchsia";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-34616;"Efuma Aps";24-07-2024
"Kangertech Evod vv batteri";Other;02828-17-50010;"Insano Aps";27-11-2017
"Vapeson - Brown pr blend";"Refill container/cartridge containing e-liquid.";00219-22-27971;"Efuma Aps";04-03-2022
"InSano - Red USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Sundbygaard - Brown classic";"Refill container/cartridge containing e-liquid.";00219-16-05681;"Efuma Aps";13-01-2017
"Aspire - Glint mod, stainless steel";Other;00219-19-23834;"Efuma Aps";17-12-2019
"Kangertech - EVOD VV 650 mAh batteri";Other;02828-17-50010;"Insano Aps";27-11-2017
"Vozol Switch Pico Black";Other;02828-25-50082;"Insano Aps";16-10-2025
"Vozol Switch Pro 2 Purple";Other;02828-25-50081;"Insano Aps";16-10-2025
"Aspire - Glint mod, black";Other;00219-19-23834;"Efuma Aps";17-12-2019
"Vozol Switch Pro 2 Black";Other;02828-25-50081;"Insano Aps";16-10-2025
"Holmegaard - Red usa mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Aspire - Zelos x mod, pink";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Vozol Switch Pico Purple";Other;02828-25-50082;"Insano Aps";16-10-2025
"Hangsen - Red USA Mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - Red USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20420;"HANGSEN Sp.z o.o.";29-06-2021
"Aspire - Zelos x mod, blue";Other;00219-21-29760;"Efuma Aps";03-11-2021
"Vapeson - American brown - 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27964;"Efuma Aps";04-03-2022
"Vapeson - American blend - 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27964;"Efuma Aps";04-03-2022
"Innokin - Endura t18 2 battery 1300mah, black";Other;00219-18-18486;"Efuma Aps";24-10-2018
"Vuse - Vuse Go 1000 Emerald";"Electronic cigarette – Disposable.";00170-24-34089;"Nicoventures Trading Limited";09-10-2024
"Hangsen - Atom Virginia 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Virginia tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - Virginia tobacco 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"Vuse - Vuse Go 1000 Blue";"Electronic cigarette – Disposable.";00170-24-32475;"Nicoventures Trading Limited";10-04-2024
"Vaporesso - Luxe x3 kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Vuse - Vuse Go 1000 Blue";"Electronic cigarette – Disposable.";00170-24-32477;"Nicoventures Trading Limited";10-04-2024
"Vapeson - Blue mist";"Refill container/cartridge containing e-liquid.";00219-22-27968;"Efuma Aps";04-03-2022
"True Vapor - Virginia tobacco 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"Vuse - Vuse Go 1000 Blond";"Electronic cigarette – Disposable.";00170-24-34088;"Nicoventures Trading Limited";09-10-2024
"FJÖR Puffbar Plus Blue 20MG/ML";"Electronic cigarette – Disposable.";02828-23-90134;"Insano Aps";27-12-2023
"Vaporesso - Luxe x3 kit, fluid green";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Brize - Vincibar Virginia 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-25-40002;"Danish Trade ApS";13-06-2025
"Vaporesso - Luxe x3 kit, fluid blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"NNB Nord Nikotin base - PG50/VG50 18mg";"Refill container/cartridge containing e-liquid.";03183-18-10001;"Danish Trade ApS";09-11-2018
"Vozol vista plug Prefilled Cartridge 8 + 2 ml. Brown  10 mg/ml";"Refill container/cartridge containing e-liquid.";02828-25-90139;"Insano Aps";19-12-2024
"Vuse - Vuse Go 1000 Emerald";"Electronic cigarette – Disposable.";00170-24-32476;"Nicoventures Trading Limited";10-04-2024
"Holmegaard - Virginia 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"FJÖR Puffbar Plus Hs green 10MG/ML";"Electronic cigarette – Disposable.";02828-23-90133;"Insano Aps";27-12-2023
"Enva sol sticks Brown 18 mg/ml";"Electronic cigarette – Disposable.";02828-25-90141;"Insano Aps";05-01-2026
"TRUE VAPOR - Virginia 0mg 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"NNB Nord Nikotin base - PG50/VG50 12mg";"Refill container/cartridge containing e-liquid.";03183-18-10003;"Danish Trade ApS";09-11-2018
"Vuse - Vuse Go 1000 Aqua";"Electronic cigarette – Disposable.";00170-24-34087;"Nicoventures Trading Limited";09-10-2024
"Sundbygaard - Smooth breeze 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27967;"Efuma Aps";04-03-2022
"FJÖR Puffbar Plus Swt 10MG/ML";"Electronic cigarette – Disposable.";02828-23-90130;"Insano Aps";27-12-2023
"Vozol switch 600 Prefilled pod Brown 20 mg/ml";"Electronic cigarette – Disposable.";02828-23-90128;"Insano Aps";17-11-2023
"FJÖR Puffbar Plus Hs green 20MG/ML";"Electronic cigarette – Disposable.";02828-23-90132;"Insano Aps";27-12-2023
"Vapeson - Blue mist - 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27968;"Efuma Aps";04-03-2022
"Vaporesso - Luxe x3 kit, carbon black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Vaporesso - Luxe x3 kit, grey silk";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Brize - Vincibar Crush 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-25-40001;"Danish Trade ApS";13-02-2025
"Vozol switch 600 Prefilled pod Blue 10 mg/ml";"Electronic cigarette – Disposable.";02828-23-90127;"Insano Aps";17-11-2023
"Sundbygaard - Marine breeze 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27967;"Efuma Aps";04-03-2022
"FJÖR Puffbar Plus Silver 20MG/ML";"Electronic cigarette – Disposable.";02828-23-90136;"Insano Aps";27-12-2023
"Vozol switch 600 Prefilled pod Blue 20 mg/ml";"Electronic cigarette – Disposable.";02828-23-90126;"Insano Aps";17-11-2023
"Sundbygaard - Smooth breeze";"Refill container/cartridge containing e-liquid.";00219-22-27968;"Efuma Aps";04-03-2022
"Brize - Vincibar Mento 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-23-40003;"Danish Trade ApS";05-04-2023
"NNB Nord Nikotin base - PG30/VG70 18mg";"Refill container/cartridge containing e-liquid.";03183-18-20001;"Danish Trade ApS";14-11-2018
"NNB Nord Nikotin base - PG30/VG70 12mg";"Refill container/cartridge containing e-liquid.";03183-18-20003;"Danish Trade ApS";14-11-2018
"Brize - Vincibar Twist 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-23-40001;"Danish Trade ApS";05-04-2023
"Hangsen - Virginia Tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"Sundbygaard - Marine breeze 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27968;"Efuma Aps";04-03-2022
"Vaporesso - Luxe x3 kit, fluid purple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Brize - Vincibar T mix 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-23-40000;"Danish Trade ApS";05-04-2023
"Vozol vista plug Prefilled Cartridge 8 + 2 ml. Miami 10 mg/ml";"Refill container/cartridge containing e-liquid.";02828-25-90137;"Insano Aps";19-12-2024
"Vapeson - Blue mist";"Refill container/cartridge containing e-liquid.";00219-22-27967;"Efuma Aps";04-03-2022
"Sundbygaard - Smooth breeze 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27968;"Efuma Aps";04-03-2022
"Sundbygaard - Smooth breeze";"Refill container/cartridge containing e-liquid.";00219-22-27967;"Efuma Aps";04-03-2022
"Enva sol sticks Blue and brown 18 mg/ml";"Electronic cigarette – Disposable.";02828-25-90142;"Insano Aps";05-01-2026
"FJÖR Puffbar Plus Swt 20MG/ML";"Electronic cigarette – Disposable.";02828-23-90129;"Insano Aps";27-12-2023
"FJÖR Puffbar Plus Brown 20MG/ML";"Electronic cigarette – Disposable.";02828-23-90135;"Insano Aps";27-12-2023
"Vuse - Vuse Go 1000 Brown";"Electronic cigarette – Disposable.";00170-24-32534;"Nicoventures Trading Limited";12-04-2024
"Vuse - Vuse Go 1000 Brown";"Electronic cigarette – Disposable.";00170-25-34909;"Nicoventures Trading Limited";03-04-2025
"Vozol vista plug Prefilled Cartridge 8 + 2 ml. Miami 20 mg/ml";"Refill container/cartridge containing e-liquid.";02828-25-90138;"Insano Aps";19-12-2024
"InSano - Virginia 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22400;"HANGSEN Sp.z o.o.";29-06-2021
"Vapeson - Blue mist - 6mg/ml";"Refill container/cartridge containing e-liquid.";00219-22-27967;"Efuma Aps";04-03-2022
"Vaporesso - Luxe x3 kit, sheer pink";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36313;"Efuma Aps";04-05-2026
"Vozol vista plug Prefilled Cartridge 8 + 2 ml. Brown  20 mg/ml";"Refill container/cartridge containing e-liquid.";02828-25-90140;"Insano Aps";19-12-2024
"Oxva Nexlim Go grey";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80143;"Insano Aps";26-08-2025
"Innokin - Gomax tank, 2ml - Black";"Electronic cigarette – Refillable, device only.";02828-21-30138;"Insano Aps";18-10-2021
"True Vapor - Royal 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20543;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Pr 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20543;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Arctic blue 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72652;"HANGSEN Sp.z o.o.";30-03-2022
"Nord - Polar - 10 ml - 20mg/ml";"Refill container/cartridge containing e-liquid.";03183-25-10006;"Danish Trade ApS";09-01-2025
"Oxva Nexlim Go";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80143;"Insano Aps";26-08-2025
"Brize - Vincibar Pro Pod - Twist 20mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-24-40007;"Danish Trade ApS";18-06-2024
"Holmegaard - Pr brown 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20542;"HANGSEN Sp.z o.o.";11-11-2016
"Nord - Blue - 10 ml - 20mg/ml";"Refill container/cartridge containing e-liquid.";03183-25-10004;"Danish Trade ApS";09-01-2025
"Pr. 10 ml - 50/50 6";"Refill container/cartridge containing e-liquid.";12542-24-00009;"DKCIG ApS";05-09-2024
"INSANO - Hs green 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72652;"HANGSEN Sp.z o.o.";30-03-2022
"Nord - Myntic - 10 ml - 20mg/ml";"Refill container/cartridge containing e-liquid.";03183-25-10005;"Danish Trade ApS";09-01-2025
"Hangsen - Atom Swt 6mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72581;"HANGSEN Sp.z o.o.";30-03-2022
"True Vapor - Royal 12 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20542;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Polar blue 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72611;"HANGSEN Sp.z o.o.";30-03-2022
"Hangsen - Atom Freeze 6mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72611;"HANGSEN Sp.z o.o.";30-03-2022
"Hangsen - Atom Pr 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20881;"HANGSEN Sp.z o.o.";15-11-2016
"TRUE VAPOR - Green 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72652;"HANGSEN Sp.z o.o.";30-03-2022
"Classic 10 ml - 50/50 6";"Refill container/cartridge containing e-liquid.";12542-24-00005;"DKCIG ApS";05-09-2024
"TRUE VAPOR - Polar 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72611;"HANGSEN Sp.z o.o.";30-03-2022
"Hangsen - Atom Swt 12mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72592;"HANGSEN Sp.z o.o.";30-03-2022
"Pr. 10 ml - 50/50 12";"Refill container/cartridge containing e-liquid.";12542-24-00010;"DKCIG ApS";05-09-2024
"Hangsen - Atom Spr 12mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72652;"HANGSEN Sp.z o.o.";30-03-2022
"Nord - Original - 10 ml - 20mg/ml";"Refill container/cartridge containing e-liquid.";03183-25-10007;"Danish Trade ApS";09-01-2025
"Oxva Nexlim Go Silky black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80143;"Insano Aps";26-08-2025
"Hangsen - Atom Pr 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20542;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Blue 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72581;"HANGSEN Sp.z o.o.";30-03-2022
"Brize - Vincibar Pro Pod - Crush 20mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-24-40008;"Danish Trade ApS";13-02-2025
"INSANO - Pr 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20542;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Grey 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72611;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Sw blue 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72592;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - Swt 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72581;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - Swt 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72592;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - Pr 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20881;"HANGSEN Sp.z o.o.";15-11-2016
"Brize - Vincibar Pro Pod - T mix 20mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-24-40009;"Danish Trade ApS";18-06-2024
"Brize - Vincibar Pro Pod - Mento 20mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-24-40006;"Danish Trade ApS";18-06-2024
"Oxva Nexlim Go purple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80143;"Insano Aps";26-08-2025
"INSANO - Pr 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20543;"HANGSEN Sp.z o.o.";11-11-2016
"Innokin - Gomax tank, 2ml - Clear";"Electronic cigarette – Refillable, device only.";02828-21-30138;"Insano Aps";18-10-2021
