Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2025,'840130000',210,  ,KG,0,21419,48530478,0,0,0,0,0,0,0,0,0,0,76,379095,0,0,0,0,0,0,0,0,0,0,0,0,0,19,551904,0,0,0,0,21324,47599479,0,0,0
2,2025,'840140000',105,  ,KG,0,16,2069,0,12,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,623,0,0,0,0,0,0,0,0,0
2,2025,'840140000',304,  ,KG,0,1296,201738,0,52,8878,0,586,77724,0,64,11028,0,70,12127,0,104,21990,0,64,5935,0,60,5519,0,46,6208,0,60,9858,0,30,1052,0,88,7469,0,72,33950
2,2025,'840211000',110,NO,KG,1,271839,242071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,271839,242071,0,0,0,0,0,0
2,2025,'840211000',117,NO,KG,1,312386,372565,0,0,0,0,0,0,0,0,0,0,0,0,1,312386,372565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'840212000',103,NO,KG,1,48438,66688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48438,66688
2,2025,'840212000',105,NO,KG,30,1146410,1219724,1,358940,330631,4,36706,23051,1,13452,8214,4,28589,16843,1,22358,13392,4,83238,83785,0,0,0,0,0,0,6,123522,119658,3,75737,77769,1,13643,8575,5,390225,537806
2,2025,'840212000',110,NO,KG,5,863796,965622,0,0,0,0,0,0,1,343915,368186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,224007,264356,0,0,0,2,295874,333080
2,2025,'840212000',117,NO,KG,3,527611,502591,0,0,0,0,0,0,0,0,0,0,0,0,1,175877,167124,0,0,0,0,0,0,0,0,0,2,351734,335467,0,0,0,0,0,0,0,0,0
2,2025,'840212000',213,NO,KG,2,65,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,415
2,2025,'840212000',220,NO,KG,5,1211,23910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,233,1,1198,23677,0,0,0,0,0,0
2,2025,'840219000',105,NO,KG,6,19955,8747,0,0,0,0,0,0,0,0,0,0,0,0,2,16700,6555,0,0,0,2,205,331,0,0,0,0,0,0,1,3000,1204,0,0,0,1,50,657
2,2025,'840219000',120,NO,KG,741,878,15155,33,39,699,0,0,0,0,0,0,178,211,3775,0,0,0,519,615,10458,0,0,0,0,0,0,0,0,0,0,0,0,11,13,223,0,0,0
2,2025,'840219000',213,NO,KG,234,231,4841,0,0,0,0,0,0,32,18,334,94,51,969,36,27,424,4,68,1953,0,0,0,0,0,0,68,67,1161,0,0,0,0,0,0,0,0,0
2,2025,'840219000',220,NO,KG,731,743,14007,0,0,0,48,48,949,41,33,507,90,73,1131,252,203,3292,149,119,2714,21,58,1206,40,113,2454,26,21,341,48,48,904,16,27,509,0,0,0
2,2025,'840219000',222,NO,KG,1,23,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'840219000',223,NO,KG,15,54,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,346,0,0,0,0,0,0,10,35,499,0,0,0,0,0,0
