year,category,registered_quantity_litres,registered_quantity_ml,tax_revenue_sek,status,display_granularity_quantity_litres,display_granularity_revenue_sek,source_table,source_url,boundary
2024,high_concentration_e_liquid,14000,14000000,60000000,official_latest_full_outturn_anchor,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
2024,regular_e_liquid,12000,12000000,20000000,official_latest_full_outturn_anchor,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
2025,high_concentration_e_liquid,14000,14000000,60000000,official_forecast_or_current_estimate_not_actual,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
2025,regular_e_liquid,12000,12000000,20000000,official_forecast_or_current_estimate_not_actual,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
2026,high_concentration_e_liquid,14000,14000000,60000000,official_forecast_or_current_estimate_not_actual,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
2026,regular_e_liquid,11000,11000000,20000000,official_forecast_or_current_estimate_not_actual,1000,10000000,"Berakningskonventioner 2026, table 7.5, page 139",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,registered taxable consumption and tax revenue; not retail sell-out or total market value
