year,cn8,scope,official_label_fr,douane_import_eur,douane_export_eur,border_net_import_eur,douane_import_kg,douane_export_kg,douane_import_rows,douane_export_rows,eu27_or_fr_origin_import_eur,known_non_eu_origin_import_eur,indeterminate_origin_import_eur,china_origin_import_eur,china_origin_share_pct,eurostat_world_import_eur,eurostat_world_export_eur,douane_vs_eurostat_import_gap_eur,douane_vs_eurostat_import_gap_pct,douane_vs_eurostat_export_gap_eur,douane_vs_eurostat_export_gap_pct,supplementary_unit_status,boundary
2025,85434000,core_devices,Cigarettes électroniques et dispositifs de vaporisation électriques personnels similaires,191564950,101383587,90181363,1975435,1088504,170,478,26355022,165047467,162461,119761777,62.517583,191525311,100911119,39639,0.020696,472468,0.468202,not_available_for_selected_cn8_codes,trade_not_sales; kg_not_ml_or_device_units; 2404_codes_are_broad_proxies
2025,24041200,broad_nicotine_inhalation_proxy,"Produits contenant de la nicotine, destinés à une inhalation sans combustion (mais ne contenant pas de tabac ou de tabac reconstitué)",155659885,16225939,139433946,3783799,720694,186,414,9366643,146262735,30507,125874950,80.865375,155593223,16172562,66662,0.042844,53377,0.330047,not_available_for_selected_cn8_codes,trade_not_sales; kg_not_ml_or_device_units; 2404_codes_are_broad_proxies
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,"Produits contenant des succédanés de tabac, destinés à une inhalation sans combustion (mais ne contenant pas de nicotine)",25794,212174,-186380,443,5202,4,11,0,15164,10630,0,0.0,25794,212096,0,0.0,78,0.036776,not_available_for_selected_cn8_codes,trade_not_sales; kg_not_ml_or_device_units; 2404_codes_are_broad_proxies
2025,24041990,broad_other_substitute_inhalation_proxy,"Produits contenant des succédanés de nicotine, destinés à une inhalation sans combustion (mais ne contenant pas de nicotine ou de succédanés de tabac)",16689352,10041684,6647668,343296,163616,150,343,2187521,14487578,14253,1670947,10.012054,16686803,9996244,2549,0.015276,45440,0.454571,not_available_for_selected_cn8_codes,trade_not_sales; kg_not_ml_or_device_units; 2404_codes_are_broad_proxies
