YearMonth/AnnéeMois,HS10,Country/Pays,Province,State/État,Value/Valeur,Quantity/Quantité,Unit of Measure/Unité de Mesure
202501,2404120000,CN,AB,,163541,2246,KGM
202501,2404120000,CN,BC,,5935930,109495,KGM
202501,2404120000,CN,ON,,38794534,613514,KGM
202501,2404120000,CN,QC,,268248,1307,KGM
202501,2404120000,CN,SK,,225849,3920,KGM
202501,2404120000,DE,ON,,37,1,KGM
202501,2404120000,DE,QC,,606,5,KGM
202501,2404120000,FR,BC,,137,1,KGM
202501,2404120000,FR,ON,,41,1,KGM
202501,2404120000,FR,QC,,15,1,KGM
202501,2404120000,GB,BC,,16,1,KGM
202501,2404120000,GB,QC,,18,1,KGM
202501,2404120000,HK,BC,,201,1,KGM
202501,2404120000,HK,ON,,17600,637,KGM
202501,2404120000,HK,QC,,71,1,KGM
202501,2404120000,JP,QC,,20,0,KGM
202501,2404120000,TW,BC,,94,2,KGM
202501,2404120000,TW,QC,,21,1,KGM
202501,2404120000,US,BC,US,2611,22,KGM
202501,2404120000,US,ON,CA,9080,252,KGM
202501,2404120000,US,ON,DC,37005,81,KGM
202501,2404120000,US,ON,NY,4931,136,KGM
202501,2404120000,US,ON,US,364,3,KGM
202501,2404120000,US,QC,US,1662,19,KGM
202501,2404190000,CN,BC,,288,2,KGM
202501,2404190000,CN,ON,,79486,634,KGM
202501,2404190000,CN,QC,,3926,162,KGM
202501,2404190000,FR,QC,,68,1,KGM
202501,2404190000,US,ON,MI,78,1,KGM
202501,8543400010,CN,BC,,441475,48834,NMB
202501,8543400010,CN,ON,,400078,25710,NMB
202501,8543400010,CN,QC,,199222,17568,NMB
202501,8543400010,DE,QC,,195,7,NMB
202501,8543400010,US,BC,US,11,1,NMB
202501,8543400010,US,ON,MI,321,10,NMB
202501,8543400010,US,ON,US,12,1,NMB
202501,8543400010,US,QC,US,66,3,NMB
202501,8543400090,CN,AB,,111044,14458,NMB
202501,8543400090,CN,BC,,1887018,472440,NMB
202501,8543400090,CN,MB,,150366,2250,NMB
202501,8543400090,CN,ON,,7263279,1192125,NMB
202501,8543400090,CN,QC,,341461,87239,NMB
202501,8543400090,DE,BC,,44099,109,NMB
202501,8543400090,HK,ON,,20635,2170,NMB
202501,8543400090,IE,BC,,15,6,NMB
202501,8543400090,IE,ON,,177,108,NMB
202501,8543400090,IN,ON,,2,1,NMB
202501,8543400090,MY,ON,,21287,500,NMB
202501,8543400090,US,BC,CA,161425,40001,NMB
202501,8543400090,US,ON,CA,5620,2735,NMB
202501,8543400090,US,ON,MI,18851,107,NMB
202501,8543400090,US,ON,NJ,23,1,NMB
202501,8543400090,US,ON,TN,85,1,NMB
202502,2404120000,CN,BC,,189860,8601,KGM
202502,2404120000,CN,ON,,11024689,185591,KGM
202502,2404120000,CN,QC,,186,1,KGM
202502,2404120000,DE,BC,,161,2,KGM
202502,2404120000,FR,BC,,81,1,KGM
202502,2404120000,GB,BC,,345,2,KGM
202502,2404120000,GB,ON,,82,2,KGM
202502,2404120000,GB,QC,,112,1,KGM
202502,2404120000,HK,BC,,20,1,KGM
202502,2404120000,HK,ON,,15,0,KGM
202502,2404120000,JP,QC,,56,1,KGM
202502,2404120000,TW,QC,,44,1,KGM
202502,2404120000,US,AB,FL,29,1,KGM
202502,2404120000,US,BC,CA,1198,19,KGM
202502,2404120000,US,BC,US,2736,27,KGM
202502,2404120000,US,ON,CA,11439,202,KGM
202502,2404120000,US,ON,DC,1337482,5373,KGM
202502,2404120000,US,ON,FL,3902,48,KGM
202502,2404120000,US,ON,US,421,5,KGM
202502,2404120000,US,QC,US,1496,15,KGM
202502,2404190000,CN,ON,,35834,383,KGM
202502,2404190000,CN,QC,,2919,90,KGM
202502,2404190000,GB,AB,,91,1,KGM
202502,2404190000,MY,ON,,28,2,KGM
202502,2404190000,US,BC,US,43,1,KGM
202502,2404190000,US,MB,CA,31,0,KGM
202502,2404190000,US,ON,CA,247,3,KGM
202502,2404190000,US,ON,MI,26,0,KGM
202502,8543400010,CN,ON,,97096,16135,NMB
202502,8543400010,US,BC,US,173,12,NMB
202502,8543400010,US,QC,US,206,20,NMB
202502,8543400090,CN,AB,,15537,432,NMB
202502,8543400090,CN,BC,,155112,29925,NMB
202502,8543400090,CN,MB,,200416,2024,NMB
202502,8543400090,CN,ON,,1676039,276527,NMB
202502,8543400090,CN,QC,,9315,4674,NMB
202502,8543400090,DE,ON,,70,1,NMB
202502,8543400090,MY,ON,,33965,700,NMB
202502,8543400090,US,BC,AZ,18706,585,NMB
202502,8543400090,US,BC,CA,17,6,NMB
202502,8543400090,US,ON,CA,461,29,NMB
202502,8543400090,US,ON,IL,10548,447,NMB
202502,8543400090,US,ON,MI,237,3,NMB
202502,8543400090,US,ON,MO,43,1,NMB
202502,8543400090,US,ON,US,398,1,NMB
202502,8543400090,US,QC,TX,184,1,NMB
202503,2404120000,AT,QC,,53,1,KGM
