year,official_e_liquid_litres,official_e_liquid_ml,measure,source_systems,evidence_status,source_url,boundary
2020,1451529,1451529000,domestic_sales_plus_intra_EU_acquisition_plus_import,ZEFIR2; IAS Krakow analysis; AIS import system,official_declared_excise_flow,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,legal_declared_flow_not_retail_value_or_consumer_sell_out
2021,277265,277265000,domestic_sales_plus_intra_EU_acquisition_plus_import,ZEFIR2; IAS Krakow analysis; AIS import system,official_declared_excise_flow,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,legal_declared_flow_not_retail_value_or_consumer_sell_out
2022,416088,416088000,domestic_sales_plus_intra_EU_acquisition_plus_import,ZEFIR2; IAS Krakow analysis; AIS import system,official_declared_excise_flow,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,legal_declared_flow_not_retail_value_or_consumer_sell_out
2023,805441,805441000,domestic_sales_plus_intra_EU_acquisition_plus_import,ZEFIR2; IAS Krakow analysis; AIS import system,official_declared_excise_flow,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,legal_declared_flow_not_retail_value_or_consumer_sell_out
