reference_year,release_date,official_e_liquid_ml,official_e_liquid_litres,source_url,source_system_detail,maturity
2023,2024-04-15,883641334.2,883641.3342,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTD4DHUB/i02408-o1.pdf,tax declarations and customs notifications in KAS IT systems,earlier_preliminary_release
2023,2025-01-28,805441000.0,805441.0,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,ZEFIR2; IAS Krakow analysis; AIS import system,later_release_preferred_pending_revision_explanation
