year,product,product_label,scope,flow,partner_scope,value_eur,quantity_kg,supplementary_quantity,world_minus_intra_minus_extra_eur,source_url,boundary
2025,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",broad_nicotine_inhalation_proxy,export,intra_EU27,35742311,5267344.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",broad_nicotine_inhalation_proxy,export,extra_EU27,1931639,90986.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,world,18601,171.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,intra_EU27,18597,166.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,extra_EU27,4,5.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,export,world,4423,67.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,export,intra_EU27,,,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",broad_nicotine_free_tobacco_substitute_inhalation_proxy,export,extra_EU27,4423,67.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,import,world,29626141,111590.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,import,intra_EU27,26566584,15988.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,import,extra_EU27,3059557,95602.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,export,world,29415741,176518.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,export,intra_EU27,28671341,110501.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
2025,24041990,"Products containing nicotine substitutes, intended for inhalation without combustion (excl. containing nicotine or tobacco substitutes)",broad_other_substitute_inhalation_proxy,export,extra_EU27,744400,66017.0,,0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,"border trade value; intra-EU import partner is consignment, extra-EU import partner is origin; not Dutch consumer sales"
