year,product,scope,flow,partner,partner_label,partner_role,value_eur,rank,share_of_country_partner_rows_pct,source_url,boundary
2025,24041200,broad_nicotine_inhalation_proxy,import,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,2627075,5,1.550827,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041200,broad_nicotine_inhalation_proxy,export,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU destination member state,9066263,1,24.065071,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041200,broad_nicotine_inhalation_proxy,export,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU destination member state,8274081,2,21.96234,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041200,broad_nicotine_inhalation_proxy,export,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU destination member state,5209603,3,13.828131,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041200,broad_nicotine_inhalation_proxy,export,IE,Ireland (Eire),intra-EU destination member state,4143462,4,10.998215,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041200,broad_nicotine_inhalation_proxy,export,PL,Poland,intra-EU destination member state,3477756,5,9.231196,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU country of consignment,18183,1,97.752809,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,RO,Romania,intra-EU country of consignment,223,2,1.19886,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,CZ,Czechia,intra-EU country of consignment,108,3,0.580614,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,EE,Estonia,intra-EU country of consignment,53,4,0.284931,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
