year,basket,products,world_import_eur,world_export_eur,border_net_import_minus_export_eur,intra_EU_import_eur,extra_EU_import_eur,intra_EU_export_eur,extra_EU_export_eur,import_world_reconciliation_gap_eur,export_world_reconciliation_gap_eur,extra_EU_import_share_pct,export_to_import_ratio_pct,reported_consumer_spend_eur,source_url,boundary
2025,narrow_devices_plus_nicotine_proxy,85434000+24041200,204763244,69808927,134954317,28723436,176039808,66362031,3446896,0,0,85.972367,34.092509,281548137,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,customs and consumer-spend values use different valuation levels and scopes; border net is not domestic demand or retail turnover
2025,broad_four_code_context,85434000+24041200+24041910+24041990,234407986,99229091,135178895,55308617,179099369,95033372,4195719,0,0,76.404978,42.331788,281548137,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&partner=WORLD&partner=INT_EU27_2020&partner=EXT_EU27_2020&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG&indicators=SUPPLEMENTARY_QUANTITY&time=2025&lang=en,customs and consumer-spend values use different valuation levels and scopes; border net is not domestic demand or retail turnover
