period,hs10_code,scope,unit,value_cad,quantity,source_url
202509,8543400010,core_device,NMB,400037,62653,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202510,8543400010,core_device,NMB,219415,32986,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202511,8543400010,core_device,NMB,319162,52759,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202512,8543400010,core_device,NMB,143155,26753,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202501,8543400090,core_device,NMB,10025387,1814251,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202502,8543400090,core_device,NMB,2121048,315356,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202503,8543400090,core_device,NMB,5745857,1040880,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202504,8543400090,core_device,NMB,3672893,916881,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202505,8543400090,core_device,NMB,9837074,1186812,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202506,8543400090,core_device,NMB,8605336,1048932,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202507,8543400090,core_device,NMB,7575900,979883,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202508,8543400090,core_device,NMB,7245241,1256260,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202509,8543400090,core_device,NMB,5496020,1188793,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202510,8543400090,core_device,NMB,6255119,1016281,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202511,8543400090,core_device,NMB,7692306,1237159,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202512,8543400090,core_device,NMB,9986362,1811672,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
