fiscal_public_accounts,agency,product,revenue_cad,source_url,interpretation
2023-2024,Canada Border Services Agency,Vaping products,246032168,https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2024/vol2/sp-ps/rev-eng.html,"Excise duty revenue reported in Public Accounts of Canada 2024, Section 25; not retail sales"
2022-2023,Canada Border Services Agency,Vaping products,37845979,https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2024/vol2/sp-ps/rev-eng.html,"Previous-year comparative in same table; partial first-year framework"
