year,booked_combined_revenue_dkk,booked_combined_revenue_million_dkk,year_on_year_growth_pct,status,scope,separable_e_liquid_actual,boundary,source_cell,source_url
2024,548495746.0507325,548.4957460507325,,official_booked_actual_combined_category,nicotine products and nicotine liquids combined,no,not an e-liquid-only actual and cannot validate the DKK 90m e-liquid forecast,P158,https://skm.dk/media/nd0bwgno/indtaegtsliste-2025.xlsx
2025,789133262.5257559,789.1332625257559,43.87226668714508,official_booked_actual_combined_category,nicotine products and nicotine liquids combined,no,not an e-liquid-only actual and cannot validate the DKK 90m e-liquid forecast,P161,https://skm.dk/media/nd0bwgno/indtaegtsliste-2025.xlsx
