period,evidence_type,tobacco_controls,nicotine_controls,total_displayed_controls,hit_rate_pct,hit_rate_scope,derived_metric,derived_value,boundary,source_url
2020,control_counts,259,,259,,,,,risk-based inspections selected on materiality; hit rate is not national market non-compliance,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf
2021,control_counts,339,,339,,,,,risk-based inspections selected on materiality; hit rate is not national market non-compliance,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf
2022,control_counts,446,29,475,,,,,risk-based inspections selected on materiality; hit rate is not national market non-compliance,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf
2023,control_counts,446,564,1010,,,,,risk-based inspections selected on materiality; hit rate is not national market non-compliance,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf
2024,control_counts,314,929,1243,70,2020-2024 average across risk-selected tobacco and nicotine controls,nicotine share of 2024 displayed controls,74.738536,risk-based inspections selected on materiality; hit rate is not national market non-compliance,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf
2025,single_enforcement_case,,,,,,approximate unpaid excise per seized disposable,62.5,"around 40,000 disposables and around DKK 2.5m unpaid duty; not market share or retail price",https://skm.dk/aktuelt/presse-nyheder/pressemeddelelser/stoklund-efter-fund-af-40000-ulovlige-puff-bars-det-er-organiseret-svindel-og-en-haan-mod-faellesskabet
