period,scope,products,flow,rank,partner,partner_label,partner_basis,value_eur,share_of_country_partner_rows_pct,method_note,source_url
2025,narrow_patent_scope_proxy,85434000+24041200,export,3,MX,Mexico,country of destination,56756.0,6.271499,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),country of destination,39752.0,4.392569,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,5,FI,Finland,country of destination,18483.0,2.042359,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,6,SE,Sweden,country of destination,18046.0,1.994071,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,7,GL,Greenland,country of destination,16326.0,1.804012,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,8,GB,United Kingdom,country of destination,14711.0,1.625555,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,9,CH,Switzerland (incl. Liechtenstein 'LI' -> 1994),country of destination,12623.0,1.394833,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,10,NL,Netherlands,country of destination,8894.0,0.982781,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,1,CN,China,extra-EU country of origin,5879819.0,38.744767,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,2,HR,Croatia,intra-EU country of consignment,3917406.0,25.813547,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,3,PL,Poland,intra-EU country of consignment,2456226.0,16.185176,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,872221.0,5.747456,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
