forecast_year,product_category,proposed_unit_tax_eur_per_ml,estimated_annual_quantity_ml,estimated_annual_quantity_litres,estimated_annual_tax_revenue_eur,estimated_incremental_revenue_eur,evidence_status,source_page_pdf,printed_page,source_url,source_tier,limitation
2026,containing_nicotine,0.165336,773357695,773357.695,127864030,7103557,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
2026,without_nicotine_and_flavours,0.119409,333891312,333891.312,39869790,3066907,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
2027,containing_nicotine,0.183707,773357695,773357.695,142071145,21310672,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
2027,without_nicotine_and_flavours,0.137780,333891312,333891.312,46003603,9200721,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
2028,containing_nicotine,0.202078,773357695,773357.695,156278259,35517786,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
2028,without_nicotine_and_flavours,0.156151,333891312,333891.312,52137417,15334534,official_government_budget_forecast_not_actual,177,175,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,B,"Quantity and revenue are official technical-report estimates for the proposed intervention, not observed sales, tax returns or actual revenue."
